0,disease_name,description,treatments,causes,severity,specialist,frequency,contagiousness
1,Abdominal aortic aneurysm,An abdominal aortic aneurysm (AAA) is a swelling in the aorta the artery that carries blood from the heart to the tummy (abdomen). Most aneurysms do not cause any problems but they can be serious because there's a risk they could burst (rupture).,"medicines to lower your blood pressure and cholesterol level which may help stop the aneurysm getting bigger
surgery to reduce the risk of the aneurysm bursting - this may be done if your AAA is large (5.5cm or bigger) is quickly getting bigger or is painful
","An abdominal aortic aneurysm happens when the main artery that carries blood from the heart to the tummy (the aorta) becomes weakened.
It's not always clear what causes it but some people have a higher chance of getting one.
Youâ€™re more at risk if you:
are male and aged 65 or over
smoke or used to smoke
have high blood pressure
have high cholesterol
have a close relative who's had an abdominal aortic aneurysm
have coronary or peripheral artery disease (atherosclerosis)
have chronic obstructive pulmonary disease (COPD)
have a condition such as Marfan syndrome
Sometimes an abdominal aortic aneurysm can be caused by an infection but this is rare.",Severe,Vascular Surgeon,Common,No
2,Achalasia,Achalasia is a rare disorder of the food pipe (oesophagus) which can make it difficult to swallow food and drink.,"There is no cure for achalasia but treatment can help relieve the symptoms and make swallowing easier.
Your doctors will talk to you about the risks and benefits of the different treatment options.
Medicines such as nitrates or nifedipine can help to relax the muscles in your oesophagus. This makes swallowing easier and less painful for some people although they do not work for everyone.
The effect only lasts for a short time so medicine may be used to ease symptoms while you wait for a more permanent treatment. They may cause headaches but this usually improves over time.
Under a sedative or general anaesthetic a balloon is passed into the oesophagus using a long thin flexible tube (endoscope). The balloon is then inflated to help stretch the ring of muscle that lets food into your stomach.
This improves swallowing for most people but you may need treatment several times before your symptoms improve.
Balloon dilatation does carry a small risk of tearing the oesophagus (oesophageal rupture) which may require emergency surgery.
Using an endoscope botox is injected into the ring of muscle that lets food into your stomach causing it to relax.
It is usually effective for a few months and occasionally for a few years but it has to be repeated. This is usually painless and can be used for temporary relief in people who are not able to have other treatments.
Under general anaesthetic the muscle fibres in the ring of muscle that lets food into your stomach are cut. This is done using keyhole surgery (laparoscopy) and is called Heller's Myotomy.
It can permanently make swallowing easier.
Often a second procedure will be done at the same time to stop you getting acid reflux and heartburn which can be a side effect of the Heller's Myotomy operation. Your surgeon will talk to you about this.
In rare cases some people may need an operation to remove part of their oesophagus.
Balloon dilation and surgery can both cause side effects such as acid reflux and heartburn and chest pain. A GP may be able to prescribe medicine to help with this and your surgeon may suggest you take this medicine routinely.
It's normal for chest pain to persist for a while after treatment. Drinking cold water may help relieve this.
You should see a GP if you still have swallowing difficulties or are continuing to lose weight after treatment.
","Achalasia is thought to happen when the nerves in the oesophagus become damaged and stop working properly which is why the muscles and ring of muscle do not work. The exact cause of this is unknown.
In some people it may be linked to a viral infection. It may also be associated with having an autoimmune condition where the body's immune system attacks healthy cells tissue and organs.
In rare cases achalasia may run in families.",Moderate,Gastroenterologist,Rare,No
3,Acne,Acne is a common skin condition that affects most people at some point. It causes spots oily skin and sometimes skin that's hot or painful to touch.,,"Acne is most commonly linked to the changes in hormone levels during puberty but can start at any age.
Certain hormones cause the grease-producing glands next to hair follicles in the skin to produce larger amounts of oil (abnormal sebum).
This abnormal sebum changes the activity of a usually harmless skin bacterium called P. acnes which becomes more aggressive and causes inflammation and pus.
The hormones also thicken the inner lining of the hair follicle causing blockage of the pores. Cleaning the skin does not help to remove this blockage.
Other possible causes
Acne is known to run in families. If both your mother and father had acne it's likely that you'll also have acne.
Hormonal changes such as those that occur during the menstrual cycle or pregnancy can also lead to episodes of acne in women.
There's no evidence that diet poor hygiene or sexual activity play a role in acne.",Mild,Dermatologist,Common,No
4,Acoustic neuroma (vestibular schwannoma),An acoustic neuroma is a type of non-cancerous (benign) brain tumour. It's also known as a vestibular schwannoma.,"monitoring the tumour â€“ small tumours often just need to be monitored with regular MRI scans and treatment is generally only recommended if scans show it's getting bigger
brain surgery â€“ surgery to remove all or some of the tumour through a cut in the skull may be carried out under general anaesthetic if it's large or getting bigger
stereotactic radiosurgery â€“ small tumours or any pieces of a larger tumour that remain after surgery may be treated with a precise beam of radiation to stop them getting any bigger
",,Moderate,Neurotologist,Rare,No
5,Acromegaly,Acromegaly is a rare condition where the body produces too much growth hormone causing body tissues and bones to grow more quickly.,"reduce growth hormone production to normal levels
relieve the pressure a tumour may be putting on surrounding tissues
treat any hormone deficiencies
improve your symptoms
damaging the healthy parts of your pituitary gland
leakage of the fluid that surrounds and protects your brain
meningitis â€“ although this is rare
a monthly injection of either octreotide lanreotide or pasireotide â€“ this slows down the release of growth hormone and can sometimes also shrink tumours
a daily pegvisomant injection â€“ this blocks the effects of growth hormone and can significantly improve symptoms
bromocriptine or cabergoline tablets â€“ these can stop growth hormone being produced but they only work in a small proportion of people
stereotactic radiotherapy â€“ a high-dose beam of radiation is aimed very precisely at your adenoma; you'll need to wear a rigid head frame or a plastic mask to hold your head still during the treatment which can usually be done in one session
conventional radiotherapy â€“ this also uses a beam of radiation to target the adenoma but it's wider and less precise than the one used in stereotactic radiotherapy; this means this treatment can damage the surrounding pituitary gland and brain tissue so it's given in small doses over 4 to 6 weeks to give your tissues time to heal between treatments
","If you do not get treatment you may be at risk of developing:
type 2 diabetes
high blood pressure (hypertension)
heart disease
disease of the heart muscle (cardiomyopathy)
arthritis
bowel polyps which can potentially turn into bowel cancer if left untreated
Because of the risk of bowel polyps a procedure known as a colonoscopy might be recommended if you've been diagnosed with acromegaly. Regular colonoscopy screening may also be necessary.",Severe,Endocrinologist,Rare,No
6,Actinic keratoses (solar keratoses),Actinic keratoses (also called solar keratoses) are dry scaly patches of skin that have been damaged by the sun. It's not usually serious but there's a small chance the patches could become skin cancer. Protecting your skin in the sun and watching out for changes can help.,"prescription creams and gels
freezing the patches (cryotherapy) â€“ this makes the patches turn into blisters and fall off after a few weeks
surgery to cut out or scrape away the patches â€“ you'll be given a local anaesthetic first so it does not hurt
photodynamic therapy (PDT) where special cream is applied to the patches and a light is shone on them
",,Moderate,Dermatologist,Common,No
7,Acute cholecystitis,Acute cholecystitis is inflammation of the gallbladder. It usually happens when a gallstone blocks the cystic duct.,"not eating or drinking (fasting) to take the strain off your gallbladder
receiving fluids through a drip directly into a vein (intravenously) to prevent dehydration
taking medicine to relieve your pain
open cholecystectomy â€“ where the gallbladder is removed through a single cut in the tummy
laparoscopic cholecystectomy â€“ keyhole surgery where the gallbladder is removed using special surgical instruments inserted through a number of small cuts in your abdomen
","The causes of acute cholecystitis can be grouped into 2 main categories: calculous cholecystitis and acalculous cholecystitis.
Calculous cholecystitis
Calculous cholecystitis is the most common and usually less serious type of acute cholecystitis. It accounts for around 95% of all cases.
Calculous cholecystitis develops when the main opening to the gallbladder the cystic duct gets blocked by a gallstone or a substance known as biliary sludge.
Biliary sludge is a mixture of bile a liquid produced by the liver that helps digest fats and small cholesterol and salt crystals.
The blockage in the cystic duct causes bile to build up in the gallbladder increasing the pressure inside it and causing it to become inflamed. An inflamed gallbladder can sometimes become infected by bacteria.
Acalculous cholecystitis
Acalculous cholecystitis is gallbladder inflammation without gallstones. It's less common but usually more serious than calculous cholecystitis.
The exact cause of acalculous cholecystitis is not known but it's usually a complication of a serious illness infection or injury that damages the gallbladder.
A combination of risk factors may lead to acalculous cholecystitis including accidental damage to the gallbladder during major surgery serious injuries or burns sepsis severe malnutrition or dehydration.",Moderate,Gastroenterologist,Common,No
8,Acute kidney injury,Acute kidney injury (AKI) is where your kidneys suddenly stop working properly. It can range from minor loss of kidney function to complete kidney failure.,"to increase your intake of water and other fluids if you're dehydrated
antibiotics if you have an infection
to stop taking certain medicines (at least until the problem is sorted)
a urinary catheter a thin tube used to drain the bladder if there's a blockage
","You're more likely to get AKI if:
you're aged 65 or over
you already have a kidney problem such as chronic kidney disease
you have a long-term disease such as heart failure liver disease or diabetes
you're dehydrated or unable to maintain your fluid intake independently
you have a blockage in your urinary tract (or are at risk of this)
you have a severe infection or sepsis
you're taking certain medicines including non-steroidal anti-inflammatory drugs (NSAIDS) such as ibuprofen or blood pressure medicines such as ACE inhibitors or diuretics; diuretics help the kidneys get rid of extra fluid from the body but may become less helpful when a person is dehydrated or suffering from a severe illness
you're given aminoglycosides â€“ a type of antibiotic that's usually only given in hospital; these medicines are only likely to increase the risk of AKI if you're dehydrated or ill",Severe,Nephrologist,Common,No
9,Acute myeloid leukaemia,Leukaemia is cancer of the white blood cells. Acute leukaemia means it progresses quickly and aggressively and usually requires immediate treatment.,"Treatment for AML needs to begin as soon as possible as it can develop quickly.
Chemotherapy is the main treatment for AML. It's used to kill as many leukaemia cells in your body as possible and reduce the risk of the condition coming back (relapsing).
In some cases intensive chemotherapy and radiotherapy may be needed in combination with a bone marrow or stem cell transplant.
Find out more about treating AML
","It's not clear exactly what causes AML and in most cases there's no identifiable cause.
But some things can increase your risk of getting AML including:
previous chemotherapy or radiotherapy
exposure to very high levels of radiation (including previous radiotherapy treatment)
smoking and other exposure to benzene a chemical used in manufacturing that's also found in cigarette smoke
having a blood disorder or some genetic conditions such as Down's syndrome
Find out more about the causes of AML",Severe,Hematologist,Rare,No
10,Acute pancreatitis,Acute pancreatitis is a condition where the pancreas becomes inflamed (swollen) over a short period of time.,"Treatment for acute pancreatitis aims to help control the condition and manage any symptoms.
This usually involves admission to hospital. You may be given fluids directly into a vein (intravenous fluids) pain relief liquid food through a tube in your tummy and oxygen through tubes in your nose.
Most people with acute pancreatitis get better within a week and are well enough to leave hospital after a few days.
Recovery can take longer in severe cases as some people can develop complications.
Read more about treating acute pancreatitis and the possible complications of acute pancreatitis.
","Acute pancreatitis is most often linked to:
gallstones 
drinking too much alcohol
But sometimes the cause is not known.
By reducing how much alcohol you drink and altering your diet to make gallstones less likely you can reduce your chances of developing acute pancreatitis.
Read more about the causes of acute pancreatitis and preventing acute pancreatitis.",Severe,Gastroenterologist,Common,No
